Employee ID,Name,Local Job Title,Band (ASPL),Employment Details Hire Date,Gender,DCIO,Division,Department,Location,Employee Status,Date of Exit
1000050,Employee 50,Solution Architect,E,12/12/2012,Male,ARCHIT,DEV,Technology,Bangalore,Active,
1000051,Employee 51,Senior Lead Consultant,C2,14/12/2012,Male,CANADA,DEV,Technology,Bangalore,Active,
1000052,Employee 52,Solution Designer,C,14/12/2012,Male,PO,DEV,Technology,Bangalore,Inactive,9/1/2014
1000053,Employee 53,Senior Consultant,B,17/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,30/4/2014
1000054,Employee 54,Team Leader,C1,17/12/2012,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,1/12/2016
1000055,Employee 55,Lead Consultant,C1,17/12/2012,Female,FAC,CORPFN,Corp.Func,Bangalore,Active,
1000056,Employee 56,Team Leader,C1,17/12/2012,Male,CANADA,DEV,Technology,Bangalore,Inactive,23/2/2018
1000057,Employee 57,Lead Consultant,C1,17/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000058,Employee 58,Senior Consultant,B2,17/12/2012,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,10/9/2015
1000059,Employee 59,Senior Lead Consultant,C2,17/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,9/12/2019
1000060,Employee 60,Lead Consultant,C1,19/12/2012,Female,PRDTCH,DEV,Technology,Bangalore,Inactive,10/10/2017
1000061,Employee 61,Senior Lead Consultant,C2,24/12/2012,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000062,Employee 62,Lead Consultant,C1,24/12/2012,Male,Flight,FLIGHT,Technology,Bangalore,Active,
1000063,Employee 63,Senior Consultant,B,24/12/2012,Male,PO,DEV,Technology,Bangalore,Inactive,1/3/2013
1000064,Employee 64,Senior Consultant,B,24/12/2012,Male,PO,DEV,Technology,Bangalore,Inactive,5/7/2013
1000065,Employee 65,Lead Consultant,C1,24/12/2012,Male,Flight,FLIGHT,Technology,Bangalore,Active,
1000066,Employee 66,Lead Consultant,C1,26/12/2012,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,18/1/2021
1000067,Employee 67,Lead Consultant,C,28/12/2012,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,1/4/2014
1000068,Employee 68,Lead Consultant,C1,31/12/2012,Female,CANADA,DEV,Technology,Bangalore,Inactive,3/1/2018
1000069,Employee 69,Lead Consultant,C1,3/1/2013,Female,PMO,ATSV,Technology,Bangalore,Active,
1000070,Employee 70,Manager,E,7/1/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000071,Employee 71,Senior Manager,F,7/1/2013,Male,ISG,ISG,Technology,Bangalore,Active,
1000072,Employee 72,Manager,E,7/1/2013,Male,SMCEAF,DEV,Technology,Bangalore,Active,
1000073,Employee 73,Senior Lead Consultant,C2,7/1/2013,Female,PMO,ATSV,Technology,Bangalore,Active,
1000074,Employee 74,Lead Consultant,C1,7/1/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,29/5/2019
1000075,Employee 75,Lead Consultant,C1,17/1/2013,Male,PMO,ATSV,Technology,Bangalore,Inactive,10/7/2018
1000076,Employee 76,Senior Lead Consultant,C2,17/1/2013,Female,ABT,DEV,Technology,Bangalore,Active,
1000077,Employee 77,Associate Manager,D,21/1/2013,Female,PRDTCH,DEV,Technology,Bangalore,Active,
1000078,Employee 78,Associate Principal Consultant,D,22/1/2013,Male,SMCEAF,DEV,Technology,Bangalore,Active,
1000079,Employee 79,Associate Manager,D,24/1/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000080,Employee 80,Associate Manager,D,31/1/2013,Male,CorpFunc,CORPFN,Corp.Func,Bangalore,Inactive,26/7/2015
1000081,Employee 81,Consultant,B1,4/2/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,7/9/2015
1000082,Employee 82,Team Leader,C1,4/2/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,15/9/2016
1000083,Employee 83,Senior Lead Consultant,C2,4/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000084,Employee 84,Senior Consultant,B,4/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,15/12/2014
1000085,Employee 85,Associate Principal Consultant,D,6/2/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000086,Employee 86,Team Leader,C1,7/2/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,9/6/2016
1000087,Employee 87,Senior Consultant,B,11/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,11/12/2014
1000088,Employee 88,Senior Consultant,B,12/2/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,21/11/2013
1000089,Employee 89,Senior Team Leader,C2,31/10/2019,Female,Flight,DEV,Technology,Bangalore,Inactive,15/12/2019
1000090,Employee 90,Senior Consultant,B2,14/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,23/12/2016
1000091,Employee 91,Senior Consultant,B2,18/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000092,Employee 92,Lead Consultant,C1,18/2/2013,Female,AOI,DEV,Technology,Bangalore,Active,
1000093,Employee 93,Senior Consultant,B2,20/2/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,17/7/2015
1000094,Employee 94,Senior Consultant,B,21/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,2/12/2013
1000095,Employee 95,Senior Consultant,B,22/2/2013,Female,PO,DEV,Technology,Bangalore,Inactive,21/11/2013
1000096,Employee 96,Associate Manager,D,25/2/2013,Male,FAC,CORPFN,Corp.Func,Bangalore,Active,
1000097,Employee 97,Senior Team Leader,C2,28/2/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,10/3/2016
1000098,Employee 98,Senior Lead Consultant,C2,28/2/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000099,Employee 99,Solution Designer,C,1/3/2013,Female,PO,DEV,Technology,Bangalore,Inactive,11/7/2014
1000100,Employee 100,Test Architect,D,4/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,14/3/2020
1000101,Employee 101,Associate Manager,D,4/3/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000102,Employee 102,Senior Lead Consultant,C2,4/3/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000103,Employee 103,Senior Consultant,B2,4/3/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000104,Employee 104,Senior Consultant,B,4/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,16/12/2013
1000105,Employee 105,Consultant,A2,4/3/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,25/7/2014
1000106,Employee 106,Manager,E,4/3/2013,Female,ENCMPSS,DEV,Technology,Bangalore,Active,
1000107,Employee 107,Senior Consultant,B2,4/3/2013,Male,CorpFunc,CORPFN,Corp.Func,Bangalore,Inactive,19/10/2015
1000108,Employee 108,Senior Consultant,B,4/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,17/11/2014
1000109,Employee 109,Consultant,A2,4/3/2013,Female,PO,DEV,Technology,Bangalore,Inactive,5/8/2014
1000110,Employee 110,Senior Team Leader,C2,7/3/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,8/10/2018
1000111,Employee 111,Lead Consultant,C,11/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,29/3/2013
1000112,Employee 112,Senior Consultant,B2,11/3/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,12/9/2016
1000113,Employee 113,Lead Consultant,C1,11/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Active,
1000114,Employee 114,Team Leader,C1,11/3/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,3/3/2017
1000115,Employee 115,Senior Consultant,B2,11/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,29/2/2016
1000116,Employee 116,Senior Consultant,B,13/3/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,6/11/2014
1000117,Employee 117,Module Lead,C,13/3/2013,Male,CorpFunc,CORPFN,Corp.Func,Bangalore,Inactive,5/1/2015
1000118,Employee 118,Senior Consultant,B2,14/3/2013,Female,PRDTCH,DEV,Technology,Bangalore,Inactive,17/8/2016
1000119,Employee 119,Senior Lead Consultant,C2,14/3/2013,Female,SMCEAF,DEV,Technology,Bangalore,Active,
1000120,Employee 120,Senior Consultant,B2,21/3/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,30/9/2016
1000121,Employee 121,Senior Consultant,B,25/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,12/5/2014
1000122,Employee 122,Lead Consultant,C,25/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,21/1/2015
1000123,Employee 123,Senior Consultant,B,25/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,8/1/2014
1000124,Employee 124,Manager,E,25/3/2013,Male,CANADA,DEV,Technology,Bangalore,Active,
1000125,Employee 125,Senior Consultant,B2,25/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Active,
1000126,Employee 126,Associate Principal Consultant,D,26/3/2013,Female,ESS,DEV,Technology,Bangalore,Active,
1000127,Employee 127,Senior Consultant,B2,26/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,11/1/2019
1000128,Employee 128,Lead Consultant,C1,26/3/2013,Male,DART,DART,Technology,Bangalore,Inactive,20/5/2019
1000129,Employee 129,Associate Manager,D,28/3/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,1/3/2021
1000130,Employee 130,Lead Consultant,C,1/4/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,20/8/2013
1000131,Employee 131,IT Consultant,A2,1/4/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,2/7/2014
1000132,Employee 132,Associate Principal Consultant,D,1/4/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000133,Employee 133,Senior Consultant,B,1/4/2013,Male,PO,DEV,Technology,Bangalore,Inactive,16/4/2013
1000134,Employee 134,Team Leader,C,1/4/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,29/5/2015
1000135,Employee 135,Team Lead,D,1/4/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,20/2/2014
1000136,Employee 136,Senior Consultant,B2,1/4/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,7/12/2015
1000137,Employee 137,Associate Manager,D,8/4/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000138,Employee 138,Consultant,A2,8/4/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,28/1/2014
1000139,Employee 139,Associate Manager,D,8/4/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,2/1/2017
1000140,Employee 140,Senior Consultant,B2,8/4/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,16/12/2015
1000141,Employee 141,Lead Consultant,C1,8/4/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,27/9/2016
1000142,Employee 142,Senior Lead Consultant,C2,8/4/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000143,Employee 143,Senior Manager,F,10/4/2013,Male,CorpFunc,CORPFN,Corp.Func,Bangalore,Inactive,1/12/2014
1000144,Employee 144,Lead Consultant,C1,10/4/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,12/8/2018
1000145,Employee 145,Lead Consultant,C1,15/4/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,4/3/2019
1000146,Employee 146,Senior Consultant,B2,15/4/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,29/7/2015
1000147,Employee 147,Senior Consultant,B2,15/4/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,6/7/2016
1000148,Employee 148,Lead Consultant,C,15/4/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,21/1/2015
1000149,Employee 149,Senior Consultant,B2,15/4/2013,Female,PRDTCH,DEV,Technology,Bangalore,Inactive,6/11/2015
1000150,Employee 150,Senior Lead Consultant,C2,15/4/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,28/4/2015
1000151,Employee 151,Lead Consultant,C1,15/4/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000152,Employee 152,Lead Consultant,C1,15/4/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,18/11/2016
1000153,Employee 153,Consultant,A2,22/4/2013,Female,PO,DEV,Technology,Bangalore,Inactive,19/5/2014
1000154,Employee 154,Lead Consultant,C1,22/4/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,3/5/2016
1000155,Employee 155,Senior Consultant,B2,22/4/2013,Female,PRDTCH,DEV,Technology,Bangalore,Inactive,14/3/2019
1000156,Employee 156,Senior Consultant,B2,22/4/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000157,Employee 157,Senior Team Leader,C2,24/4/2013,Male,ABT,DEV,Technology,Bangalore,Inactive,7/9/2020
1000158,Employee 158,Associate Manager,D,24/4/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000159,Employee 159,Senior Lead Consultant,C2,29/4/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000160,Employee 160,Lead Consultant,C1,2/5/2013,Male,Flight,FLIGHT,Technology,Bangalore,Active,
1000161,Employee 161,Senior Consultant,B2,2/5/2013,Female,INFENG,IS,Technology,Bangalore,Inactive,22/6/2018
1000162,Employee 162,Lead Consultant,C,2/5/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,8/7/2013
1000163,Employee 163,Associate Manager,D,2/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000164,Employee 164,Lead Consultant,C1,2/5/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,5/11/2019
1000165,Employee 165,Senior Lead Consultant,C2,2/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000166,Employee 166,Associate Manager,D,3/5/2013,Male,IVANTG,DEV,Technology,Bangalore,Active,
1000167,Employee 167,Manager,E,6/5/2013,Male,SMCEAF,DEV,Technology,Bangalore,Active,
1000168,Employee 168,Associate Principle Consultant,D,6/5/2013,Female,ISG,ISG,Technology,Bangalore,Active,
1000169,Employee 169,Senior Consultant,B,6/5/2013,Female,PO,DEV,Technology,Bangalore,Inactive,20/9/2013
1000170,Employee 170,Senior Lead Consultant,C2,6/5/2013,Male,ISG,ISG,Technology,Bangalore,Active,
1000171,Employee 171,Solution Designer,C2,27/1/2020,Female,ARCHIT,DEV,Technology,Bangalore,Inactive,9/11/2020
1000172,Employee 172,Lead Consultant,C1,6/5/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,29/8/2018
1000173,Employee 173,IT Consultant,A2,6/5/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,13/4/2014
1000174,Employee 174,Senior Lead Consultant,C2,13/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000175,Employee 175,Senior Consultant,B2,13/5/2013,Female,PRDTCH,DEV,Technology,Bangalore,Active,
1000176,Employee 176,Senior Lead Consultant,C2,13/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000177,Employee 177,Consultant,A2,15/5/2013,Male,PO,DEV,Technology,Bangalore,Inactive,25/9/2014
1000178,Employee 178,Lead Consultant,C1,16/5/2013,Female,ISG,ISG,Technology,Bangalore,Inactive,1/3/2021
1000179,Employee 179,Consultant,A2,16/5/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,1/4/2015
1000180,Employee 180,Consultant,A2,20/5/2013,Male,PO,DEV,Technology,Bangalore,Inactive,4/2/2014
1000181,Employee 181,Associate Principal Consultant,D,20/5/2013,Male,SQTD,DEV,Technology,Bangalore,Active,
1000182,Employee 182,Senior Consultant,B2,20/5/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,28/2/2017
1000183,Employee 183,Senior Lead Consultant,C2,23/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000184,Employee 184,Senior Consultant,B2,23/5/2013,Female,PRDTCH,DEV,Technology,Bangalore,Inactive,15/5/2017
1000185,Employee 185,Senior Consultant,B2,27/5/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,28/11/2016
1000186,Employee 186,Manager,E,27/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000187,Employee 187,Lead Consultant,C1,27/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000188,Employee 188,Consultant,A2,27/5/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,3/9/2013
1000189,Employee 189,Senior Consultant,B2,29/5/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,4/5/2015
1000190,Employee 190,Senior Lead Consultant,C2,31/5/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000191,Employee 191,Lead Consultant,C1,3/6/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,15/8/2019
1000192,Employee 192,Associate Manager,D,3/6/2013,Male,ISG,ISG,Technology,Bangalore,Active,
1000193,Employee 193,Lead Consultant,C1,3/6/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,19/10/2018
1000194,Employee 194,Senior Lead Consultant,C2,3/6/2013,Male,SMCEAF,DEV,Technology,Bangalore,Active,
1000195,Employee 195,Consultant,A2,3/6/2013,Male,PO,DEV,Technology,Bangalore,Inactive,22/12/2014
1000196,Employee 196,Associate Principal Consultant,D,5/6/2013,Male,COMPZD,DEV,Technology,Bangalore,Active,
1000197,Employee 197,Senior Consultant,B,5/6/2013,Male,PO,DEV,Technology,Bangalore,Inactive,17/2/2014
1000198,Employee 198,Senior Consultant,B2,6/6/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,7/7/2015
1000199,Employee 199,Lead Consultant,C1,10/6/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000200,Employee 200,Senior Solution Designer,D,10/6/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,9/8/2013
1000201,Employee 201,Test Architect,E,10/6/2013,Male,CANADA,DEV,Technology,Bangalore,Active,
1000202,Employee 202,Lead Consultant,C1,10/6/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,23/11/2016
1000203,Employee 203,Senior Consultant,B2,17/6/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,15/7/2015
1000204,Employee 204,Associate Manager,D,17/6/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000205,Employee 205,Senior Lead Consultant,C2,17/6/2013,Male,INFENG,IS,Technology,Bangalore,Active,
1000206,Employee 206,Head,G,17/6/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,11/12/2013
1000207,Employee 207,Lead Consultant,C1,19/6/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000208,Employee 208,Consultant,B1,19/6/2013,Male,IS,IS&ISG,Technology,Bangalore,Inactive,23/10/2015
1000209,Employee 209,Consultant,B1,19/6/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,2/5/2016
1000210,Employee 210,Lead Consultant,C1,20/6/2013,Female,INFENG,IS,Technology,Bangalore,Active,
1000211,Employee 211,Manager,E,20/6/2013,Male,CTS,DEV,Technology,Bangalore,Inactive,22/9/2020
1000212,Employee 212,Senior HR Business Partner,B2,24/6/2013,Female,HRM,CORPFN,Corp.Func,Bangalore,Inactive,13/9/2016
1000213,Employee 213,Director,G,30/9/2019,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000214,Employee 214,Senior Training Specialist,B2,24/6/2013,Female,Flight,FLIGHT,Technology,Bangalore,Inactive,27/5/2016
1000215,Employee 215,Senior Lead Consultant,D,24/6/2013,Male,PO,DEV,Technology,Bangalore,Inactive,27/5/2014
1000216,Employee 216,Senior Consultant,B2,24/6/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,26/12/2017
1000217,Employee 217,Senior Lead Consultant,C2,24/6/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000218,Employee 218,Senior Consultant,B2,24/6/2013,Female,Flight,FLIGHT,Technology,Bangalore,Active,
1000219,Employee 219,Consultant,A2,24/6/2013,Male,PO,DEV,Technology,Bangalore,Inactive,18/12/2014
1000220,Employee 220,Senior Consultant,B2,27/6/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,3/6/2019
1000221,Employee 221,Senior Lead Consultant,C2,27/6/2013,Female,INFSEC,AIS,Technology,Bangalore,Active,
1000222,Employee 222,Senior Consultant,B2,27/6/2013,Male,Flight,FLIGHT,Technology,Bangalore,Inactive,26/10/2016
1000223,Employee 223,Senior Consultant,B2,1/7/2013,Male,QPM,DEV,Technology,Bangalore,Active,21/5/2021
1000224,Employee 224,Consultant,A2,1/7/2013,Female,PO,DEV,Technology,Bangalore,Inactive,6/6/2014
1000225,Employee 225,Consultant,A2,1/7/2013,Male,PO,DEV,Technology,Bangalore,Inactive,23/12/2013
1000226,Employee 226,Lead Consultant,C1,1/7/2013,Male,SMCEAF,DEV,Technology,Bangalore,Inactive,11/11/2018
1000227,Employee 227,Senior Consultant,B2,1/7/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,21/9/2017
1000228,Employee 228,Manager,E,2/7/2013,Female,FINANCE,CORPFN,Corp.Func,Bangalore,Active,
1000229,Employee 229,Manager,E,3/7/2013,Female,PRDTCH,DEV,Technology,Bangalore,Active,
1000230,Employee 230,Senior Lead Consultant,C2,4/7/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
1000231,Employee 231,Senior Consultant,B2,8/7/2013,Male,PRDTCH,DEV,Technology,Bangalore,Inactive,13/7/2015
1000232,Employee 232,Senior Consultant,B2,8/7/2013,Male,INFENG,IS,Technology,Bangalore,Inactive,21/6/2016
1000233,Employee 233,Associate Principal Consultant,D,8/7/2013,Male,PRDTCH,DEV,Technology,Bangalore,Active,
